"row_id","vt_surname","vt_name","name_raw","district","match_score","match_quality","census_id"
606,"MINNAAR","PHILIP CAREL JR","Minnaar, Philip Carel","Graaff-Reinet",0.918,"Excellent",4395
414,"HENNING","JAN HENDRIK","Henning, Jan Hendrik","Graaff-Reinet",0.892,"Good",4415
959,"THERON","THOMAS FRANCOIS","Theron, Thomas Francois","Graaff-Reinet",0.824,"Good",4456
1043,"VAN DYK","JACOBUS NICOLAAS","Van Dyk, Jacobus Nicolaas","Graaff-Reinet",0.96,"Excellent",4482
1202,"VISSER","CHRISTOFFEL JACOBUS","Visser, Christoffel Jacobus","Graaff-Reinet",0.996,"Good",4489
1006,"VAN DER MERWE","JAN (JOHANNES) LODEWYK","v. d. Merwe, Jan Lodewyk","Graaff-Reinet",0.862,"Good",4493
298,"DU TOIT","JOHANNES HERMANUS (JAN)","Du Toit, Johannes Hermanus","Graaff-Reinet",0.828,"Fair",4530
546,"LIEBENBERG","BAREND GODLIEB","Liebenberg, Barend Godlieb","Graaff-Reinet",0.81,"Good",4544
549,"LIEBENBERG","STEPHANUS RUDOLPH","Liebenberg, Stephanus Rudolf","Graaff-Reinet",0.886,"Fair",4553
763,"PRETORIUS","DANIEL PETRUS","Pretorius, Daniel Petrus","Graaff-Reinet",0.934,"Good",4598
1136,"VAN WYK","JACOB PIETER","Van Wyk, Jacob Pieter","Graaff-Reinet",0.972,"Excellent",4639
691,"PIENAAR","PETRUS ARNOLDUS","Pienaar, Petrus Arnoldus","Graaff-Reinet",0.912,"Excellent",4681
828,"ROOS","GYSBERTUS JOHANNES","Roos, Gysbertus","Graaff-Reinet",0.888,"Fair",4726
1157,"VENTER","MARCUS ALBERTUS","Venter, Marius Albertus","Graaff-Reinet",0.948,"Excellent",4747
947,"SWANEPOEL","WILLEM ABRAHAM","Swanepoel, Willem Adriaan","Graaff-Reinet",0.842,"Good",4749
289,"DU PREEZ","JOHANNES PETRUS","Du Preez, Johannes Petrus","Graaff-Reinet",0.794,"Good",4778
1014,"VAN DER MERWE","FRANCOIS ANROLDUS","v. d. Merwe, Francois Arnoldus","Graaff-Reinet",0.942,"Excellent",4804
492,"KLOPPER","JOHANNES JACOBUS","Klopper, Johannes Jacobus","Graaff-Reinet",0.946,"Good",4811
756,"PRETORIUS","SYBRAND GERHARDUS","Pretorius, Sybrand Gerhardus","Graaff-Reinet",0.934,"Good",4815
889,"SNYMAN","DAVID BENJAMIN","Snyman, David Benjamin","Graaff-Reinet",0.962,"Excellent",4840
366,"FOURIE","MARCUS JOHANNES","Fourie, Marius Johannes","Graaff-Reinet",0.982,"Excellent",4871
1117,"VAN STRATEN","FRANCOIS CORNELIUS","Van Straten, Francois Cornelis","Graaff-Reinet",0.84,"Fair",4884
948,"SWANEPOEL","WILLEM BAREND","Swanepoel, Willem Barend","Graaff-Reinet",0.998,"Good",4902
21,"BASSON","MATTHYS MICHIEL","Basson, Matthys Michiel","Graaff-Reinet",0.984,"Good",4910
838,"SCHEEPERS","STEPHANUS JOHANNES SR.","Scheepers, Stephanus","Graaff-Reinet",0.792,"Good",4942
156,"CILLIERS","PETRUS GERHARDUS","Cilliers, Petrus Gerhardus","Graaff-Reinet",0.968,"Good",4978
154,"CILLIERS","CHARL ARNOLDUS","Cilliers, Charel Arnoldus","Graaff-Reinet",0.728,"Good",4979
396,"GROVE","HERMANUS GERHARDUS","Grove, Hermanus Gerhardus","Graaff-Reinet",0.818,"Good",5052
735,"PRETORIUS","WYNAND JOHANNES","Pretorius, Wynand Johannes","Graaff-Reinet",0.944,"Good",5078
749,"PRETORIUS","HERCULES ALBERTUS (BART)","Pretorius, Hercules Albertus","Graaff-Reinet",0.948,"Excellent",5079
496,"KOEKEMOER","MARTHINUS WESSEL","Koekemoer, Marthinus Wessel","Graaff-Reinet",0.99,"Good",5093
746,"PRETORIUS","ANDRIES WILHELMUS JACOBUS SR.","Pretorius, Andries Wilhelm Jacobus","Graaff-Reinet",0.906,"Excellent",5146
801,"RETIEF","FRANCOIS","Retief, Francois","Graaff-Reinet",0.818,"Good",5153
760,"PRETORIUS","PETRUS GERHARDUS ( SWART PIET)","Pretorius, Petrus Gerhardus","Graaff-Reinet",0.968,"Good",5164
743,"PRETORIUS","MATTHYS WYNAND SR.","Pretorius, Matthys Wynand","Graaff-Reinet",0.806,"Good",5167
1176,"VERMEULEN","JAN GABRIEL","Vermeulen, Jan Gabriel","Graaff-Reinet",0.952,"Excellent",5179
759,"PRETORIUS","WILLEM JURGEN","Pretorius, Willem Jurgen","Graaff-Reinet",0.894,"Fair",5181
1190,"VILJOEN","CHRISTIAAN RUDOLPH","Viljoen, Christiaan Rudolph","Graaff-Reinet",0.88,"Good",5197
864,"SCHOLTZ","JOACHIM HERMANUS","Scholtz, Joachim","Graaff-Reinet",0.806,"Good",5205
520,"KRUGER","JOHANNES LODEWYK","Kruger, Johannes Lodewicus","Graaff-Reinet",0.782,"Good",5213
303,"DU TOIT","CHRISTIAAN PETRUS","Du Toit, Christiaan Petrus","Graaff-Reinet",0.972,"Good",5216
302,"DU TOIT","THOMAS ARNOLDUS","Du Toit, Thomas Arnoldus","Graaff-Reinet",0.88,"Good",5218
1180,"VILJOEN","ALBERTUS JOHANNES (BART)","Viljoen, Albertus Johannes","Graaff-Reinet",0.954,"Good",5223
13,"BADENHORST","HENDRIK JOHANNES","Badenhorst, Hendrik Johannes","Graaff-Reinet",0.978,"Good",5245
329,"ERASMUS","LOURENS MARTHINUS","Erasmus, Laurens Marthinus","Graaff-Reinet",0.862,"Fair",5292
54,"BORNMAN","JOHAN CHRISTIAAN","Bornman, Johannes Christiaan","Graaff-Reinet",0.802,"Good",5305
67,"BOTHA","CHRISTOFFEL FRANCOIS","Botha, Christoffel Francois","Graaff-Reinet",0.716,"Good",5311
1179,"VILJOEN","JOHANNES HERCULES","Viljoen, Johannes Hercules","Graaff-Reinet",0.948,"Excellent",5326
417,"HERBST","CHRISTIAAN FREDERIK","Herbst, Christiaan Frederik","Graaff-Reinet",0.954,"Excellent",5327
131,"BRITS","CHRISTIAAN PIETER","Brits, Christiaan P.","Graaff-Reinet",0.882,"Good",5335
590,"MEINTJES","JOHANNES PETRUS","Meintjes, Johannes Petrus","Graaff-Reinet",0.97,"Good",5456
567,"MAARTENS","HENDRIK JACOBUS","Maartens, Hendrik Jacobus","Graaff-Reinet",0.858,"Fair",5505
831,"ROOS","JOHANNES JACOBUS","Roos, Johannes Jacobus","Graaff-Reinet",0.928,"Good",5538
832,"ROOS","FRANCOIS (FRANS)","Roos, Francois Sr.","Stellenbosch",0.968,"Good",6388
59,"BOSMAN","HERMANUS STEPHANUS","Bosman, Hermanus Stephanus","Stellenbosch",0.912,"Good",6761
921,"STEYN","MARTHINUS","Steyn, Marthinus Sr.","Swellendam",0.946,"Good",7209
619,"MULLER","JOHANNES PETRUS","Muller, Johannes Petrus","Swellendam",0.974,"Good",7210
260,"DU PLESSIS","WILLEM","Du Plessis, Willem","Swellendam",0.936,"Good",7268
550,"LINDE","GEORG FREDERIK","Linde, Georg Frederik","Swellendam",0.972,"Good",7486
32,"BESTER","HERMANUS JACOBUS","Bester, Hermanus Jacobus","Swellendam",0.992,"Good",7502
