ID,Journal,Year,Vol,No,Paper_ID,Title,TitleCaps,Divergence,Depression,Comments,Google14,Google15,Google16,Google17,Google18,Google19,Google20,Google21,Google22,Google23,Google24,Google25,Google26,WebScience15,Pagestart,Pageend,Characters,Continent1,No of authors,Author1,Author1 university,Author1 country,Author2,Author2 university,Author2 country,Author3,Author3 university,Author3 country,Author4,Author4 university,Author4 country,Author5,Author5 university,Author5 country,Author 6,Author6 University,Author 6 Country,Author 7,Author7 University,Author 7 Country,Author 8,Author8 University,Author 8 Country,Author 9,Author 9 University,Author 9 Country,Author 10,Author 10 University,Author 10 Country,Author 11,Author 11 University,Author 11 Country,ID_original,duplicate_entry
44,Explorations,1998,35,1,1,"Sources Of Risk, Institutions For Survival, And A Game Against Nature In Premodern Iceland","SOURCES OF RISK, INSTITUTIONS FOR SURVIVAL, AND A GAME AGAINST NATURE IN PREMODERN ICELAND",0,0,0,10,12,14,16,18,17,19,24,27,30,34,37,38,6,1,30,90,Western Europe,1,Thrainn Eggertsson,University of Iceland,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,FALSE
45,Explorations,1998,35,2,5,The Origins Of The Eurodollar Market In London: 1955–1963,THE ORIGINS OF THE EURODOLLAR MARKET IN LONDON: 1955–1963,0,0,0,43,56,69,97,110,127,142,165,190,217,248,256,275,18,221,238,57,Britain,1,Catherine R Schenk,University of Glasgow,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,FALSE
46,Explorations,1998,35,2,4,The Risk Environment Of Film Making: Warner Bros In The Inter-War Years,THE RISK ENVIRONMENT OF FILM MAKING: WARNER BROS IN THE INTER-WAR YEARS,0,0,0,34,38,46,53,59,61,66,72,85,90,92,97,99,19,196,220,71,North America,2,John Sedgwick,University of North London,UK,Michael Pokorny,University of North London,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,FALSE
47,Explorations,1998,35,2,3,Comparing British And American Economic And Industrial Performance 1860–1993: A Time Series Perspective,COMPARING BRITISH AND AMERICAN ECONOMIC AND INDUSTRIAL PERFORMANCE 1860–1993: A TIME SERIES PERSPECTIVE,0,0,0,17,17,18,20,21,22,24,24,25,25,30,31,31,4,171,195,103,North America,2,David Greasley,University of Edinburgh,UK,Les Oxley,University of Waikato,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,FALSE
48,Explorations,1998,35,2,2,"The Political Economy Of New Deal Spending Revisited, Again: With And Without Nevada","THE POLITICAL ECONOMY OF NEW DEAL SPENDING REVISITED, AGAIN: WITH AND WITHOUT NEVADA",0,0,0,106,123,136,140,144,156,168,176,190,202,208,198,203,46,140,170,84,North America,1,John Joseph Wallis,University of Maryland,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,FALSE
49,Explorations,1998,35,2,1,"The Political Economy Of Workers' Compensation Benefit Levels, 1910–1930","THE POLITICAL ECONOMY OF WORKERS' COMPENSATION BENEFIT LEVELS, 1910–1930",0,0,0,11,12,13,16,16,17,17,18,18,20,23,22,23,5,109,139,72,North America,2,Price V Fishback,University of Arizona,USA,Shawn Kantor,University of Arizona,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,FALSE
50,Explorations,1998,35,3,4,Purely Animal: Pastoral Production And Early Argentine Economic Growth 1825–1865,PURELY ANIMAL: PASTORAL PRODUCTION AND EARLY ARGENTINE ECONOMIC GROWTH 1825–1865,0,0,0,18,22,22,25,24,24,27,26,28,28,28,29,29,6,325,345,80,Latin America,2,Carlos Newland,Universidad Torcuato Di Tella,Argentina,Barry Poulson,University of Colorado at Boulder,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,FALSE
51,Explorations,1998,35,3,3,Wealth Accumulation And The Life-Cycle In Economic History: Implications Of Alternative Approaches To Data,WEALTH ACCUMULATION AND THE LIFE-CYCLE IN ECONOMIC HISTORY: IMPLICATIONS OF ALTERNATIVE APPROACHES TO DATA,0,0,0,25,27,29,30,34,38,41,42,43,42,42,40,41,11,296,324,106,North America,1,Livio Di Matteo,Lakehead University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,FALSE
52,Explorations,1998,35,3,2,"Racial Segregation, Working Conditions, And Workers' Health: Evidence From The A. M. Byers Company, 1916–1930","RACIAL SEGREGATION, WORKING CONDITIONS, AND WORKERS' HEALTH: EVIDENCE FROM THE A. M. BYERS COMPANY, 1916–1930",0,0,0,5,7,6,6,6,5,6,6,6,7,8,7,7,3,272,295,109,North America,1,Thomas N Maloney,University of Utah,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,FALSE
53,Explorations,1998,35,3,1,"Growth, Distribution, And Demography: Some Lessons From History","GROWTH, DISTRIBUTION, AND DEMOGRAPHY: SOME LESSONS FROM HISTORY",0,0,0,169,168,189,197,216,255,235,246,265,270,280,289,295,19,241,271,63,Global,1,Jeffrey G Williamson,Harvard University,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,FALSE
